# Airfoil: JOUK_t12_f2
# Settings: StallFwd=15.3 StallBwd=9.7 Mach=0.10 Re=2303000

Alpha (deg), Cl, Cd, Cm, L/D, Stall_Sigma
30.00, 0.973353, 0.524493, -0.276014, 1.86, 0.00
30.50, 0.987392, 0.540535, -0.281044, 1.83, 0.00
31.00, 1.000898, 0.556716, -0.285977, 1.80, 0.00
31.50, 1.013834, 0.573035, -0.290807, 1.77, 0.00
32.00, 1.026162, 0.589488, -0.295528, 1.74, 0.00
32.50, 1.037852, 0.606071, -0.300137, 1.71, 0.00
33.00, 1.048877, 0.622783, -0.304631, 1.68, 0.00
33.50, 1.059212, 0.639618, -0.309006, 1.66, 0.00
34.00, 1.068837, 0.656573, -0.313261, 1.63, 0.00
34.50, 1.077737, 0.673643, -0.317394, 1.60, 0.00
35.00, 1.085896, 0.690824, -0.321405, 1.57, 0.00
35.50, 1.093309, 0.708112, -0.325294, 1.54, 0.00
36.00, 1.100050, 0.725501, -0.329079, 1.52, 0.00
36.50, 1.106300, 0.742987, -0.332798, 1.49, 0.00
37.00, 1.112191, 0.760565, -0.336477, 1.46, 0.00
37.50, 1.117750, 0.778230, -0.340124, 1.44, 0.00
38.00, 1.122974, 0.795976, -0.343736, 1.41, 0.00
38.50, 1.127860, 0.813798, -0.347315, 1.39, 0.00
39.00, 1.132406, 0.831692, -0.350860, 1.36, 0.00
39.50, 1.136610, 0.849652, -0.354370, 1.34, 0.00
40.00, 1.140470, 0.867672, -0.357846, 1.31, 0.00
40.50, 1.143985, 0.885747, -0.361287, 1.29, 0.00
41.00, 1.147153, 0.903871, -0.364693, 1.27, 0.00
41.50, 1.149972, 0.922040, -0.368064, 1.25, 0.00
42.00, 1.152443, 0.940248, -0.371399, 1.23, 0.00
42.50, 1.154563, 0.958489, -0.374699, 1.20, 0.00
43.00, 1.156332, 0.976758, -0.377964, 1.18, 0.00
43.50, 1.157750, 0.995049, -0.381192, 1.16, 0.00
44.00, 1.158816, 1.013356, -0.384385, 1.14, 0.00
44.50, 1.159528, 1.031674, -0.387542, 1.12, 0.00
45.00, 1.159888, 1.049998, -0.390662, 1.10, 0.00
45.50, 1.159895, 1.068322, -0.393747, 1.09, 0.00
46.00, 1.159549, 1.086641, -0.396795, 1.07, 0.00
46.50, 1.158850, 1.104948, -0.399807, 1.05, 0.00
47.00, 1.157798, 1.123238, -0.402782, 1.03, 0.00
47.50, 1.156393, 1.141506, -0.405720, 1.01, 0.00
48.00, 1.154637, 1.159746, -0.408622, 1.00, 0.00
48.50, 1.152528, 1.177953, -0.411488, 0.98, 0.00
49.00, 1.150069, 1.196120, -0.414316, 0.96, 0.00
49.50, 1.147259, 1.214243, -0.417108, 0.94, 0.00
50.00, 1.144100, 1.232316, -0.419863, 0.93, 0.00
50.50, 1.140592, 1.250334, -0.422581, 0.91, 0.00
51.00, 1.136737, 1.268291, -0.425262, 0.90, 0.00
51.50, 1.132536, 1.286180, -0.427907, 0.88, 0.00
52.00, 1.127990, 1.303999, -0.430514, 0.87, 0.00
52.50, 1.123100, 1.321739, -0.433084, 0.85, 0.00
53.00, 1.117868, 1.339397, -0.435618, 0.83, 0.00
53.50, 1.112296, 1.356967, -0.438115, 0.82, 0.00
54.00, 1.106384, 1.374443, -0.440574, 0.80, 0.00
54.50, 1.100136, 1.391821, -0.442997, 0.79, 0.00
55.00, 1.093553, 1.409094, -0.445383, 0.78, 0.00
55.50, 1.086636, 1.426258, -0.447732, 0.76, 0.00
56.00, 1.079389, 1.443307, -0.450044, 0.75, 0.00
56.50, 1.071813, 1.460236, -0.452319, 0.73, 0.00
57.00, 1.063910, 1.477041, -0.454558, 0.72, 0.00
57.50, 1.055683, 1.493715, -0.456760, 0.71, 0.00
58.00, 1.047135, 1.510255, -0.458925, 0.69, 0.00
58.50, 1.038268, 1.526654, -0.461054, 0.68, 0.00
59.00, 1.029084, 1.542908, -0.463146, 0.67, 0.00
59.50, 1.019587, 1.559011, -0.465201, 0.65, 0.00
60.00, 1.009779, 1.574960, -0.467220, 0.64, 0.00
60.50, 0.999664, 1.590749, -0.469203, 0.63, 0.00
61.00, 0.989245, 1.606373, -0.471150, 0.62, 0.00
61.50, 0.978524, 1.621827, -0.473060, 0.60, 0.00
62.00, 0.967504, 1.637108, -0.474934, 0.59, 0.00
62.50, 0.956191, 1.652209, -0.476771, 0.58, 0.00
63.00, 0.944586, 1.667127, -0.478573, 0.57, 0.00
63.50, 0.932693, 1.681858, -0.480339, 0.55, 0.00
64.00, 0.920516, 1.696395, -0.482069, 0.54, 0.00
64.50, 0.908059, 1.710736, -0.483763, 0.53, 0.00
65.00, 0.895325, 1.724876, -0.485422, 0.52, 0.00
65.50, 0.882318, 1.738809, -0.487045, 0.51, 0.00
66.00, 0.869043, 1.752534, -0.488633, 0.50, 0.00
66.50, 0.855502, 1.766044, -0.490185, 0.48, 0.00
67.00, 0.841702, 1.779336, -0.491702, 0.47, 0.00
67.50, 0.827645, 1.792406, -0.493183, 0.46, 0.00
68.00, 0.813335, 1.805249, -0.494630, 0.45, 0.00
68.50, 0.798778, 1.817863, -0.496042, 0.44, 0.00
69.00, 0.783978, 1.830243, -0.497418, 0.43, 0.00
69.50, 0.768939, 1.842385, -0.498760, 0.42, 0.00
70.00, 0.753662, 1.854285, -0.500067, 0.41, 0.00
70.50, 0.738123, 1.865941, -0.501337, 0.40, 0.00
71.00, 0.722276, 1.877348, -0.502565, 0.38, 0.00
71.50, 0.706105, 1.888503, -0.503752, 0.37, 0.00
72.00, 0.689619, 1.899403, -0.504897, 0.36, 0.00
72.50, 0.672835, 1.910044, -0.506003, 0.35, 0.00
73.00, 0.655769, 1.920423, -0.507071, 0.34, 0.00
73.50, 0.638435, 1.930537, -0.508102, 0.33, 0.00
74.00, 0.620851, 1.940383, -0.509098, 0.32, 0.00
74.50, 0.603031, 1.949957, -0.510060, 0.31, 0.00
75.00, 0.584991, 1.959257, -0.510988, 0.30, 0.00
75.50, 0.566746, 1.968281, -0.511884, 0.29, 0.00
76.00, 0.548311, 1.977024, -0.512749, 0.28, 0.00
76.50, 0.529701, 1.985486, -0.513583, 0.27, 0.00
77.00, 0.510931, 1.993662, -0.514387, 0.26, 0.00
77.50, 0.492017, 2.001551, -0.515162, 0.25, 0.00
78.00, 0.472971, 2.009150, -0.515908, 0.24, 0.00
78.50, 0.453810, 2.016457, -0.516625, 0.23, 0.00
79.00, 0.434546, 2.023469, -0.517314, 0.21, 0.00
79.50, 0.415193, 2.030185, -0.517975, 0.20, 0.00
80.00, 0.395766, 2.036602, -0.518609, 0.19, 0.00
80.50, 0.376277, 2.042719, -0.519214, 0.18, 0.00
81.00, 0.356739, 2.048533, -0.519792, 0.17, 0.00
81.50, 0.337166, 2.054044, -0.520342, 0.16, 0.00
82.00, 0.317569, 2.059248, -0.520863, 0.15, 0.00
82.50, 0.297961, 2.064145, -0.521356, 0.14, 0.00
83.00, 0.278354, 2.068733, -0.521821, 0.13, 0.00
83.50, 0.258758, 2.073011, -0.522256, 0.12, 0.00
84.00, 0.239186, 2.076977, -0.522662, 0.12, 0.00
84.50, 0.219648, 2.080630, -0.523037, 0.11, 0.00
85.00, 0.200154, 2.083969, -0.523382, 0.10, 0.00
85.50, 0.180715, 2.086994, -0.523696, 0.09, 0.00
86.00, 0.161340, 2.089702, -0.523978, 0.08, 0.00
86.50, 0.142039, 2.092094, -0.524227, 0.07, 0.00
87.00, 0.122820, 2.094168, -0.524443, 0.06, 0.00
87.50, 0.103692, 2.095925, -0.524624, 0.05, 0.00
88.00, 0.084662, 2.097363, -0.524771, 0.04, 0.00
88.50, 0.065740, 2.098481, -0.524881, 0.03, 0.00
89.00, 0.046932, 2.099280, -0.524955, 0.02, 0.00
89.50, 0.028278, 2.099760, -0.524992, 0.01, 0.00
90.00, 0.009720, 2.099920, -0.524990, 0.00, 0.00
90.50, -0.008874, 2.099760, -0.524950, -0.00, 0.00
91.00, -0.027443, 2.099280, -0.524870, -0.01, 0.00
91.50, -0.045887, 2.098481, -0.524751, -0.02, 0.00
92.00, -0.064201, 2.097363, -0.524591, -0.03, 0.00
92.50, -0.082380, 2.095925, -0.524391, -0.04, 0.00
93.00, -0.100422, 2.094168, -0.524148, -0.05, 0.00
93.50, -0.118320, 2.092094, -0.523863, -0.06, 0.00
94.00, -0.136073, 2.089702, -0.523535, -0.07, 0.00
94.50, -0.153676, 2.086994, -0.523164, -0.07, 0.00
95.00, -0.171128, 2.083969, -0.522748, -0.08, 0.00
95.50, -0.188425, 2.080630, -0.522287, -0.09, 0.00
96.00, -0.205566, 2.076977, -0.521781, -0.10, 0.00
96.50, -0.222548, 2.073011, -0.521228, -0.11, 0.00
97.00, -0.239372, 2.068733, -0.520630, -0.12, 0.00
97.50, -0.256034, 2.064145, -0.519985, -0.12, 0.00
98.00, -0.272536, 2.059248, -0.519293, -0.13, 0.00
98.50, -0.288876, 2.054044, -0.518554, -0.14, 0.00
99.00, -0.305055, 2.048533, -0.517767, -0.15, 0.00
99.50, -0.321073, 2.042719, -0.516932, -0.16, 0.00
100.00, -0.336930, 2.036602, -0.516051, -0.17, 0.00
100.50, -0.352628, 2.030185, -0.515121, -0.17, 0.00
101.00, -0.368168, 2.023469, -0.514144, -0.18, 0.00
101.50, -0.383551, 2.016457, -0.513119, -0.19, 0.00
102.00, -0.398779, 2.009150, -0.512047, -0.20, 0.00
102.50, -0.413855, 2.001551, -0.510928, -0.21, 0.00
103.00, -0.428781, 1.993662, -0.509763, -0.22, 0.00
103.50, -0.443559, 1.985486, -0.508551, -0.22, 0.00
104.00, -0.458193, 1.977024, -0.507294, -0.23, 0.00
104.50, -0.472686, 1.968281, -0.505992, -0.24, 0.00
105.00, -0.487041, 1.959257, -0.504646, -0.25, 0.00
105.50, -0.501262, 1.949957, -0.503257, -0.26, 0.00
106.00, -0.515352, 1.940383, -0.501825, -0.27, 0.00
106.50, -0.529317, 1.930537, -0.500351, -0.27, 0.00
107.00, -0.543160, 1.920423, -0.498837, -0.28, 0.00
107.50, -0.556885, 1.910044, -0.497283, -0.29, 0.00
108.00, -0.570498, 1.899403, -0.495692, -0.30, 0.00
108.50, -0.584003, 1.888503, -0.494063, -0.31, 0.00
109.00, -0.597406, 1.877348, -0.492399, -0.32, 0.00
109.50, -0.610710, 1.865941, -0.490702, -0.33, 0.00
110.00, -0.623922, 1.854285, -0.488972, -0.34, 0.00
110.50, -0.637029, 1.842385, -0.487209, -0.35, 0.00
111.00, -0.649996, 1.830243, -0.485413, -0.36, 0.00
111.50, -0.662798, 1.817863, -0.483581, -0.36, 0.00
112.00, -0.675426, 1.805249, -0.481713, -0.37, 0.00
112.50, -0.687879, 1.792406, -0.479810, -0.38, 0.00
113.00, -0.700153, 1.779336, -0.477873, -0.39, 0.00
113.50, -0.712247, 1.766044, -0.475903, -0.40, 0.00
114.00, -0.724155, 1.752534, -0.473899, -0.41, 0.00
114.50, -0.735877, 1.738809, -0.471862, -0.42, 0.00
115.00, -0.747408, 1.724876, -0.469793, -0.43, 0.00
115.50, -0.758746, 1.710736, -0.467692, -0.44, 0.00
116.00, -0.769888, 1.696395, -0.465561, -0.45, 0.00
116.50, -0.780830, 1.681858, -0.463398, -0.46, 0.00
117.00, -0.791570, 1.667127, -0.461206, -0.47, 0.00
117.50, -0.802105, 1.652209, -0.458984, -0.49, 0.00
118.00, -0.812431, 1.637108, -0.456732, -0.50, 0.00
118.50, -0.822545, 1.621827, -0.454453, -0.51, 0.00
119.00, -0.832445, 1.606373, -0.452145, -0.52, 0.00
119.50, -0.842127, 1.590749, -0.449809, -0.53, 0.00
120.00, -0.851588, 1.574960, -0.447446, -0.54, 0.00
120.50, -0.860825, 1.559011, -0.445057, -0.55, 0.00
121.00, -0.869836, 1.542908, -0.442641, -0.56, 0.00
121.50, -0.878616, 1.526654, -0.440200, -0.58, 0.00
122.00, -0.887164, 1.510255, -0.437732, -0.59, 0.00
122.50, -0.895475, 1.493715, -0.435240, -0.60, 0.00
123.00, -0.903548, 1.477041, -0.432723, -0.61, 0.00
123.50, -0.911378, 1.460236, -0.430182, -0.62, 0.00
124.00, -0.918963, 1.443307, -0.427617, -0.64, 0.00
124.50, -0.926300, 1.426258, -0.425029, -0.65, 0.00
125.00, -0.933386, 1.409094, -0.422417, -0.66, 0.00
125.50, -0.940218, 1.391821, -0.419781, -0.68, 0.00
126.00, -0.946793, 1.374443, -0.417124, -0.69, 0.00
126.50, -0.953109, 1.356967, -0.414443, -0.70, 0.00
127.00, -0.959162, 1.339397, -0.411741, -0.72, 0.00
127.50, -0.964950, 1.321739, -0.409016, -0.73, 0.00
128.00, -0.970470, 1.303999, -0.406270, -0.74, 0.00
128.50, -0.975718, 1.286181, -0.403502, -0.76, 0.00
129.00, -0.980694, 1.268291, -0.400713, -0.77, 0.00
129.50, -0.985393, 1.250334, -0.397903, -0.79, 0.00
130.00, -0.989814, 1.232317, -0.395071, -0.80, 0.00
130.50, -0.993954, 1.214244, -0.392219, -0.82, 0.00
131.00, -0.997810, 1.196121, -0.389345, -0.83, 0.00
131.50, -1.001380, 1.177953, -0.386451, -0.85, 0.00
132.00, -1.004661, 1.159747, -0.383536, -0.87, 0.00
132.50, -1.007652, 1.141507, -0.380600, -0.88, 0.00
133.00, -1.010350, 1.123239, -0.377644, -0.90, 0.00
133.50, -1.012753, 1.104949, -0.374667, -0.92, 0.00
134.00, -1.014859, 1.086642, -0.371670, -0.93, 0.00
134.50, -1.016665, 1.068324, -0.368651, -0.95, 0.00
135.00, -1.018171, 1.050000, -0.365613, -0.97, 0.00
135.50, -1.019373, 1.031676, -0.362553, -0.99, 0.00
136.00, -1.020271, 1.013358, -0.359473, -1.01, 0.00
136.50, -1.020863, 0.995051, -0.356372, -1.03, 0.00
137.00, -1.021146, 0.976761, -0.353250, -1.05, 0.00
137.50, -1.021120, 0.958493, -0.350107, -1.07, 0.00
138.00, -1.020782, 0.940253, -0.346943, -1.09, 0.00
138.50, -1.020133, 0.922047, -0.343758, -1.11, 0.00
139.00, -1.019170, 0.903879, -0.340552, -1.13, 0.00
139.50, -1.017892, 0.885756, -0.337324, -1.15, 0.00
140.00, -1.016299, 0.867683, -0.334074, -1.17, 0.00
140.50, -1.014389, 0.849666, -0.330803, -1.19, 0.00
141.00, -1.012162, 0.831709, -0.327510, -1.22, 0.00
141.50, -1.009616, 0.813819, -0.324194, -1.24, 0.00
142.00, -1.006752, 0.796001, -0.320857, -1.26, 0.00
142.50, -1.003568, 0.778261, -0.317497, -1.29, 0.00
143.00, -1.000065, 0.760603, -0.314114, -1.31, 0.00
143.50, -0.996242, 0.743033, -0.310709, -1.34, 0.00
144.00, -0.992099, 0.725557, -0.307281, -1.37, 0.00
144.50, -0.987636, 0.708179, -0.303830, -1.39, 0.00
145.00, -0.982853, 0.690906, -0.300355, -1.42, 0.00
145.50, -0.977750, 0.673742, -0.296857, -1.45, 0.00
146.00, -0.972328, 0.656693, -0.293335, -1.48, 0.00
146.50, -0.966587, 0.639764, -0.289789, -1.51, 0.00
147.00, -0.960528, 0.622959, -0.286220, -1.54, 0.00
147.50, -0.954152, 0.606285, -0.282626, -1.57, 0.00
148.00, -0.947459, 0.589745, -0.279008, -1.61, 0.00
148.50, -0.940451, 0.573346, -0.275366, -1.64, 0.00
149.00, -0.933128, 0.557092, -0.271698, -1.67, 0.00
149.50, -0.925487, 0.540989, -0.268005, -1.71, 0.00
150.00, -0.917507, 0.525040, -0.264282, -1.75, 0.00
150.50, -0.909155, 0.509251, -0.260519, -1.79, 0.00
151.00, -0.900418, 0.493627, -0.256715, -1.82, 0.00
151.50, -0.891299, 0.478172, -0.252869, -1.86, 0.00
152.00, -0.881801, 0.462891, -0.248980, -1.90, 0.00
152.50, -0.871928, 0.447789, -0.245049, -1.95, 0.00
153.00, -0.861685, 0.432871, -0.241077, -1.99, 0.00
153.50, -0.851078, 0.418140, -0.237064, -2.04, 0.00
154.00, -0.840111, 0.403601, -0.233010, -2.08, 0.00
154.50, -0.828793, 0.389260, -0.228916, -2.13, 0.00
155.00, -0.817130, 0.375118, -0.224784, -2.18, 0.00
155.50, -0.805131, 0.361182, -0.220614, -2.23, 0.00
156.00, -0.792805, 0.347455, -0.216408, -2.28, 0.00
156.50, -0.780162, 0.333941, -0.212167, -2.34, 0.00
157.00, -0.767213, 0.320643, -0.207895, -2.39, 0.00
157.50, -0.753972, 0.307566, -0.203593, -2.45, 0.00
158.00, -0.740453, 0.294711, -0.199265, -2.51, 0.00
158.50, -0.726674, 0.282083, -0.194915, -2.58, 0.00
159.00, -0.712656, 0.269684, -0.190548, -2.64, 0.00
159.50, -0.698424, 0.257516, -0.186172, -2.71, 0.00
160.00, -0.684009, 0.245580, -0.181794, -2.79, 0.00
160.50, -0.669452, 0.233877, -0.177427, -2.86, 0.00
161.00, -0.654804, 0.222406, -0.173086, -2.94, 0.00
161.50, -0.640133, 0.211165, -0.168793, -3.03, 0.00
162.00, -0.625525, 0.200150, -0.164575, -3.13, 0.00
162.50, -0.611099, 0.189356, -0.160473, -3.23, 0.00
163.00, -0.597011, 0.178774, -0.156536, -3.34, 0.01
163.50, -0.583469, 0.168392, -0.152839, -3.46, 0.01
164.00, -0.570752, 0.158194, -0.149476, -3.61, 0.01
164.50, -0.559149, 0.148159, -0.146545, -3.77, 0.01
165.00, -0.550542, 0.138263, -0.144852, -3.98, 0.02
165.50, -0.550471, 0.128478, -0.146864, -4.28, 0.03
166.00, -0.556558, 0.118773, -0.151506, -4.69, 0.04
166.50, -0.555662, 0.109122, -0.152796, -5.09, 0.06
167.00, -0.545553, 0.099513, -0.149619, -5.48, 0.08
167.50, -0.538489, 0.089957, -0.147581, -5.99, 0.11
168.00, -0.547908, 0.080512, -0.153276, -6.81, 0.15
168.50, -0.579879, 0.071301, -0.170395, -8.13, 0.20
169.00, -0.629365, 0.062519, -0.197464, -10.07, 0.27
169.50, -0.680548, 0.054422, -0.226999, -12.51, 0.34
170.00, -0.722493, 0.047279, -0.253605, -15.28, 0.43
170.50, -0.760750, 0.041296, -0.280787, -18.42, 0.52
171.00, -0.795997, 0.036550, -0.309334, -21.78, 0.60
171.50, -0.818271, 0.032962, -0.333334, -24.82, 0.69
172.00, -0.823261, 0.030333, -0.348993, -27.14, 0.76
172.50, -0.813412, 0.028413, -0.356085, -28.63, 0.82
173.00, -0.792085, 0.026971, -0.355477, -29.37, 0.86
173.50, -0.761720, 0.025827, -0.348212, -29.49, 0.90
174.00, -0.724347, 0.024861, -0.335480, -29.14, 0.93
174.50, -0.681769, 0.024002, -0.318515, -28.40, 0.95
175.00, -0.635454, 0.023215, -0.298410, -27.37, 0.96
175.50, -0.586525, 0.022483, -0.276051, -26.09, 0.97
176.00, -0.535803, 0.021804, -0.252112, -24.57, 0.98
176.50, -0.483871, 0.021176, -0.227085, -22.85, 0.99
177.00, -0.431133, 0.020604, -0.201318, -20.93, 0.99
177.50, -0.377865, 0.020090, -0.175054, -18.81, 0.99
178.00, -0.324252, 0.019639, -0.148458, -16.51, 1.00
178.50, -0.270416, 0.019253, -0.121642, -14.05, 1.00
179.00, -0.216444, 0.018941, -0.094693, -11.43, 1.00
179.50, -0.162373, 0.018701, -0.067649, -8.68, 1.00
180.00, -0.108210, 0.018503, -0.040514, -5.85, 1.00
